dev/avg_loss,dev/pearson,dev/spearman,epoch,step,test/avg_loss,test/pearson,test/spearman
0.04067140817642212,0.7781530022621155,0.7745031118392944,0,22,,,
0.03260529041290283,0.8155328631401062,0.812682569026947,1,45,,,
0.030147314071655273,0.8249651193618774,0.8217982053756714,2,68,,,
0.029746782034635544,0.8266271948814392,0.823808491230011,3,91,,,
0.02943997271358967,0.8273398280143738,0.8247122168540955,4,114,,,
0.029493732377886772,0.8277873396873474,0.8250675797462463,5,137,,,
0.029686277732253075,0.8269907236099243,0.8242308497428894,6,160,,,
0.030256908386945724,0.82524573802948,0.8226232528686523,7,183,,,
0.030090028420090675,0.8259099125862122,0.8234439492225647,8,206,,,
0.030263125896453857,0.8257355093955994,0.8229146003723145,9,229,,,
,,,10,230,0.030263125896453857,0.8257355093955994,0.8229146003723145
,,,10,230,0.036439426243305206,0.7838116884231567,0.7705587148666382
